week,date,session,topic,reading,slides,code,assessment,other
0,2-Jan,  ,Getting Ready for STATS 67,,,,assessment00a.qmd,
1,5-Jan,Lec,Introduction to STATS 67 and Data,reading01a.qmd,week01/1a-intro-data.html,1a-intro-data.qmd,,
1,7-Jan,Lec,Summarizing Data,reading01b.qmd,week01/1b-summarize-data.html,1b-summarize-data.qmd,,
1,7-Jan,Dis,Introduction to Data and Summarizing Data,,,1d-summarize-data.qmd,,
1,9-Jan,Hw,Summarizing Data,,,1h-summarize-data.qmd,7356751,
2,12-Jan,Lec,Sampling and Study Design,reading02a.qmd,week02/2a-sampling-study-design.html,,,
2,14-Jan,Lec,Introduction to Probability,reading02b.qmd,week02/2b-intro-probability.html,,,
2,14-Jan,Dis,"Sampling, Study Design and Probability",,,2d-study-prob.qmd,,
2,19-Jan,Hw,"Sampling, Study Design and Probability",,,,7430158,
3,19-Jan,Lec,"No Class, Martin Luther King, Jr. Day",,,,,
3,21-Jan,Lec,Discrete Random Variables,reading03b.qmd,week03/3b-discrete-rv.html,,,
3,21-Jan,Dis,Discrete Random Variables,,,3d-discrete-rv.qmd,,
3,26-Jan,Hw,Discrete Random Variables,,,,7481164,
4,26-Jan,Lec,Discrete Distributions,reading04a.qmd,week04/4a-discrete-distributions.html,,,
4,28-Jan,Lec,Continuous Random Variables,reading04b.qmd,week04/4b-cont-rv.html,,,
4,28-Jan,Dis,Discrete Distributions and Continuous Random Variables,,,4d-discrete-distr-continuous-rv.qmd,,
4,2-Feb,Hw,Discrete Distributions and Continuous Random Variables,,,,7516560,
5,2-Feb,Lec,Continuous Distributions,reading05a.qmd,week05/5a-cont-distributions.html,,,
5,4-Feb,Lec,Midterm (in class),,,,,
5,4-Feb,Dis,Midterm solutions,,,,,